Subject,Title of book ,Author,Year of Publication
Mathematics for Electronics Engineering - I,Higher Engineering Mathematics,B. S. Grewal,2014
Electrical Networks,Fundamental of Electric Circuits,C. K. Alexander and M. N. O. Sadiku,2013
Basic Electronic Circuits,Electronic Circuit Analysis and Design,D. A. Neamen,2014
Digital Electronics,Digital Design: With an Introduction to Verilog HDL,Morris Mano and Michael D. Ciletti,2013
Signals and Systems,Signals and Systems,"S. Haykin,",2007
Data Structures Using C Laboratory,Data Structures A Pseudocode Approach with C,"Richard F. Gilberg, Behrouz A. Forouzan",2004
Data Science using Python Lab,Python for Data Science For Dummies,John Mueller and Luca Massaron,2015
Mathematics for Electronics Engineering - II,Higher Engineering Mathematics,B. S. Grewal,2014
Analog Electronics Circuits,Electronic Circuit Analysis and Design,Donald A. Neamen,2002
Control System Engineering,Modern Control Engineering,Katsuhiko Ogata,2015
Analog and Digital Communication,Modern Digital and Analog Communication system,"B.P. Lathi, Zhi Ding",2017
Microcontrollers and Application,The 8051 Microcontroller,Keneth Ayala,2007
Designing with Programmable Logic,Advanced Digital Design with the Verilog HDL,Michael D.Celetti,2011